time,depth,latitude,longitude,so,thetao
05/01/2024 03:00,0.494025,-6.0833335,105.250015,33.167095,29.07699
05/01/2024 04:00,0.494025,-6.0833335,105.250015,33.18108,29.177582
05/01/2024 05:00,0.494025,-6.0833335,105.250015,33.192085,29.322784
05/01/2024 06:00,0.494025,-6.0833335,105.250015,33.201885,29.540228
05/01/2024 07:00,0.494025,-6.0833335,105.250015,33.20994,29.773647
05/01/2024 08:00,0.494025,-6.0833335,105.250015,33.21651,29.928238
05/01/2024 09:00,0.494025,-6.0833335,105.250015,33.22181,29.939762
05/01/2024 10:00,0.494025,-6.0833335,105.250015,33.223297,29.770697
05/01/2024 11:00,0.494025,-6.0833335,105.250015,33.216213,29.651783
05/01/2024 12:00,0.494025,-6.0833335,105.250015,33.209003,29.587229
05/01/2024 13:00,0.494025,-6.0833335,105.250015,33.211308,29.495918
05/01/2024 14:00,0.494025,-6.0833335,105.250015,33.21465,29.40199
05/01/2024 15:00,0.494025,-6.0833335,105.250015,33.21368,29.346508
05/01/2024 16:00,0.494025,-6.0833335,105.250015,33.20816,29.310799
05/01/2024 17:00,0.494025,-6.0833335,105.250015,33.202377,29.27856
05/01/2024 18:00,0.494025,-6.0833335,105.250015,33.19569,29.245306
05/01/2024 19:00,0.494025,-6.0833335,105.250015,33.18375,29.21238
05/01/2024 20:00,0.494025,-6.0833335,105.250015,33.166233,29.185701
05/01/2024 21:00,0.494025,-6.0833335,105.250015,33.149582,29.150507
05/01/2024 22:00,0.494025,-6.0833335,105.250015,33.13983,29.115385
05/01/2024 23:00,0.494025,-6.0833335,105.250015,33.141197,29.106627
06/01/2024 00:00,0.494025,-6.0833335,105.250015,33.134777,29.110928
06/01/2024 01:00,0.494025,-6.0833335,105.250015,33.127567,29.14605
06/01/2024 02:00,0.494025,-6.0833335,105.250015,33.12197,29.215881
06/01/2024 03:00,0.494025,-6.0833335,105.250015,33.120594,29.313145
06/01/2024 04:00,0.494025,-6.0833335,105.250015,33.12417,29.424166
06/01/2024 05:00,0.494025,-6.0833335,105.250015,33.135094,29.50552
06/01/2024 06:00,0.494025,-6.0833335,105.250015,33.154396,29.558998
06/01/2024 07:00,0.494025,-6.0833335,105.250015,33.196827,29.58241
06/01/2024 08:00,0.494025,-6.0833335,105.250015,33.25704,29.550655
06/01/2024 09:00,0.494025,-6.0833335,105.250015,33.312378,29.499397
06/01/2024 10:00,0.494025,-6.0833335,105.250015,33.355545,29.444605
06/01/2024 11:00,0.494025,-6.0833335,105.250015,33.398495,29.373234
06/01/2024 12:00,0.494025,-6.0833335,105.250015,33.427773,29.311014
06/01/2024 13:00,0.494025,-6.0833335,105.250015,33.44869,29.256075
06/01/2024 14:00,0.494025,-6.0833335,105.250015,33.473755,29.210217
06/01/2024 15:00,0.494025,-6.0833335,105.250015,33.49984,29.165098
06/01/2024 16:00,0.494025,-6.0833335,105.250015,33.52642,29.111303
06/01/2024 17:00,0.494025,-6.0833335,105.250015,33.546227,29.06357
06/01/2024 18:00,0.494025,-6.0833335,105.250015,33.53631,29.023117
06/01/2024 19:00,0.494025,-6.0833335,105.250015,33.521114,28.992416
06/01/2024 20:00,0.494025,-6.0833335,105.250015,33.514927,28.970108
06/01/2024 21:00,0.494025,-6.0833335,105.250015,33.510674,28.953068
06/01/2024 22:00,0.494025,-6.0833335,105.250015,33.491184,28.943205
06/01/2024 23:00,0.494025,-6.0833335,105.250015,33.46251,28.94948
07/01/2024 00:00,0.494025,-6.0833335,105.250015,33.4222,28.967827
07/01/2024 01:00,0.494025,-6.0833335,105.250015,33.38532,29.004465
07/01/2024 02:00,0.494025,-6.0833335,105.250015,33.354767,29.06942
07/01/2024 03:00,0.494025,-6.0833335,105.250015,33.32318,29.158699
07/01/2024 04:00,0.494025,-6.0833335,105.250015,33.294205,29.25973
07/01/2024 05:00,0.494025,-6.0833335,105.250015,33.269512,29.361938
07/01/2024 06:00,0.494025,-6.0833335,105.250015,33.249527,29.450586
